# 'water_0_30.h5', 'cement_0_30.h5', 'Asphalt_0_30.h5', 'Asphaltwet_0_30.h5', 'roadgravel_0_30.h5', 'grass_0_30.h5', 'Roughgravel_0_30.h5'
8.984905660377359027e+01,8.824299065420561305e+01,8.726415094339623124e+01,7.977981651376147454e+01,8.756190476190475636e+01,7.829906542056075125e+01,9.341747572815533829e+01
8.984905660377359027e+01,8.824299065420561305e+01,8.743396226415094930e+01,7.977981651376147454e+01,8.809523809523810201e+01,7.893457943925233167e+01,9.366990291262135315e+01
8.984905660377359027e+01,8.824299065420561305e+01,8.747169811320755173e+01,7.979816513761467434e+01,8.826666666666666572e+01,7.951401869158878810e+01,9.396116504854369111e+01
8.973584905660376876e+01,8.824299065420561305e+01,8.747169811320755173e+01,7.979816513761467434e+01,8.838095238095237960e+01,7.981308411214953935e+01,9.384466019417475025e+01
8.964150943396226978e+01,8.811214953271027639e+01,8.747169811320755173e+01,7.979816513761467434e+01,8.841904761904761756e+01,8.033644859813084338e+01,9.407766990291261777e+01
8.960377358490566735e+01,8.813084112149532245e+01,8.754716981132075659e+01,7.979816513761467434e+01,8.921904761904761472e+01,8.037383177570093551e+01,9.423300970873786753e+01
8.960377358490566735e+01,8.809345794392523032e+01,8.762264150943396146e+01,7.979816513761467434e+01,8.927619047619047876e+01,8.097196261682242380e+01,9.458252427184466171e+01
8.960377358490566735e+01,8.809345794392523032e+01,8.762264150943396146e+01,7.979816513761467434e+01,8.937142857142856656e+01,8.132710280373831324e+01,9.454368932038835283e+01
8.960377358490566735e+01,8.801869158878504606e+01,8.752830188679244827e+01,7.979816513761467434e+01,8.937142857142856656e+01,8.181308411214953935e+01,9.487378640776698546e+01
8.960377358490566735e+01,8.809345794392523032e+01,8.752830188679244827e+01,7.970642201834861851e+01,8.921904761904761472e+01,8.188785046728972361e+01,9.493203883495145590e+01
8.962264150943396146e+01,8.770093457943924875e+01,8.760377358490566735e+01,7.970642201834861851e+01,8.958095238095238244e+01,8.235514018691588944e+01,9.499029126213592633e+01
8.962264150943396146e+01,8.770093457943924875e+01,8.767924528301887221e+01,7.970642201834861851e+01,8.979047619047618412e+01,8.241121495327102764e+01,9.547572815533980872e+01
8.962264150943396146e+01,8.770093457943924875e+01,8.767924528301887221e+01,7.970642201834861851e+01,8.984761904761904816e+01,8.267289719626168676e+01,9.551456310679611761e+01
8.954716981132075659e+01,8.770093457943924875e+01,8.775471698113207708e+01,7.979816513761467434e+01,8.980952380952381020e+01,8.299065420560746986e+01,9.553398058252426495e+01
8.941509433962264097e+01,8.749532710280374204e+01,8.775471698113207708e+01,7.979816513761467434e+01,8.977142857142857224e+01,8.325233644859812898e+01,9.576699029126213247e+01
8.941509433962264097e+01,8.730841121495326718e+01,8.766037735849056389e+01,7.970642201834861851e+01,8.990476190476189799e+01,8.342056074766355778e+01,9.576699029126213247e+01
8.949056603773584584e+01,8.721495327102803685e+01,8.777358490566037119e+01,7.970642201834861851e+01,8.992380952380952408e+01,8.383177570093458542e+01,9.582524271844660291e+01
8.943396226415094930e+01,8.721495327102803685e+01,8.777358490566037119e+01,7.965137614678899070e+01,8.998095238095237391e+01,8.405607476635513819e+01,9.592233009708738223e+01
8.922641509433962881e+01,8.700934579439253014e+01,8.777358490566037119e+01,7.965137614678899070e+01,8.984761904761904816e+01,8.433644859813084338e+01,9.592233009708738223e+01
8.915094339622640973e+01,8.680373831775700921e+01,8.775471698113207708e+01,7.963302752293577669e+01,8.994285714285713595e+01,8.459813084112148829e+01,9.584466019417475025e+01
8.901886792452830832e+01,8.678504672897196315e+01,8.775471698113207708e+01,7.919266055045871155e+01,9.000000000000000000e+01,8.467289719626168676e+01,9.586407766990291179e+01
8.901886792452830832e+01,8.665420560747664069e+01,8.771698113207547465e+01,7.899082568807340010e+01,9.005714285714286405e+01,8.487850467289719347e+01,9.590291262135922068e+01
8.901886792452830832e+01,8.646728971962616583e+01,8.771698113207547465e+01,7.904587155963302791e+01,9.007619047619047592e+01,8.487850467289719347e+01,9.590291262135922068e+01
8.900000000000000000e+01,8.620560747663552092e+01,8.771698113207547465e+01,7.897247706422018609e+01,9.003809523809523796e+01,8.502803738317757620e+01,9.594174757281552957e+01
8.869811320754716633e+01,8.616822429906541458e+01,8.786792452830188438e+01,7.889908256880734427e+01,9.009523809523810201e+01,8.560747663551401843e+01,9.594174757281552957e+01
8.864150943396226978e+01,8.607476635514018426e+01,8.786792452830188438e+01,7.889908256880734427e+01,9.009523809523810201e+01,8.573831775700934088e+01,9.611650485436892666e+01
8.813207547169811562e+01,8.538317757009345144e+01,8.784905660377359027e+01,7.889908256880734427e+01,9.013333333333333997e+01,8.586915887850467755e+01,9.611650485436892666e+01
8.801886792452830832e+01,8.538317757009345144e+01,8.771698113207547465e+01,7.877064220183486043e+01,9.001904761904762609e+01,8.616822429906541458e+01,9.570873786407767625e+01
8.783018867924528195e+01,8.538317757009345144e+01,8.749056603773584584e+01,7.853211009174312096e+01,8.998095238095237391e+01,8.620560747663552092e+01,9.572815533980582359e+01
8.766037735849056389e+01,8.517757009345794472e+01,8.737735849056603854e+01,7.845871559633027914e+01,8.988571428571428612e+01,8.629906542056075125e+01,9.596116504854369111e+01
8.733962264150943611e+01,8.485981308411214741e+01,8.756603773584905070e+01,7.820183486238532566e+01,8.998095238095237391e+01,8.641121495327102764e+01,9.607766990291261777e+01
8.733962264150943611e+01,8.428037383177570518e+01,8.756603773584905070e+01,7.798165137614678599e+01,9.000000000000000000e+01,8.652336448598130403e+01,9.605825242718447043e+01
8.720754716981132049e+01,8.401869158878504606e+01,8.760377358490566735e+01,7.763302752293577669e+01,9.003809523809523796e+01,8.648598130841121190e+01,9.617475728155339709e+01
