# 'cement_0_15.h5', 'water_0_15.h5', 'Asphaltwet_0_15.h5', 'Asphalt_0_15.h5', 'Roughgravel_0_15.h5', 'grass_0_15.h5', 'roadgravel_0_15.h5'
8.207692307692308020e+01,5.092452830188679513e+01,7.916190476190476488e+01,6.945794392523364991e+01,7.354285714285714448e+01,7.416822429906541458e+01,7.740952380952380452e+01
8.300000000000000000e+01,5.092452830188679513e+01,7.975238095238094616e+01,6.977570093457943301e+01,7.401904761904762609e+01,7.467289719626168676e+01,7.761904761904762040e+01
8.386538461538461320e+01,5.092452830188679513e+01,8.003809523809523796e+01,7.044859813084111977e+01,7.434285714285714164e+01,7.519626168224299079e+01,7.779047619047618412e+01
8.448076923076922640e+01,5.092452830188679513e+01,8.051428571428571956e+01,7.069158878504673282e+01,7.478095238095238528e+01,7.566355140186915662e+01,7.811428571428571388e+01
8.513461538461538680e+01,5.092452830188679513e+01,8.062857142857143344e+01,7.123364485981308292e+01,7.499047619047618696e+01,7.620560747663552092e+01,7.832380952380952976e+01
8.607692307692308020e+01,5.092452830188679513e+01,8.089523809523809916e+01,7.177570093457943301e+01,7.523809523809524080e+01,7.631775700934579731e+01,7.860952380952380736e+01
8.657692307692308020e+01,5.092452830188679513e+01,8.104761904761905100e+01,7.183177570093458542e+01,7.582857142857142208e+01,7.689719626168223954e+01,7.925714285714285268e+01
8.751923076923077360e+01,5.092452830188679513e+01,8.120000000000000284e+01,7.244859813084111977e+01,7.617142857142857792e+01,7.770093457943924875e+01,7.931428571428571672e+01
8.830769230769230660e+01,5.062264150943396146e+01,8.156190476190475636e+01,7.278504672897196315e+01,7.641904761904761756e+01,7.807476635514018426e+01,7.980952380952381020e+01
8.888461538461538680e+01,5.054716981132075659e+01,8.224761904761905384e+01,7.315887850467289866e+01,7.678095238095238528e+01,7.876635514018691708e+01,7.994285714285713595e+01
8.975000000000000000e+01,5.050943396226415416e+01,8.249523809523809348e+01,7.360747663551401843e+01,7.685714285714286120e+01,7.923364485981308292e+01,8.022857142857142776e+01
9.028846153846153300e+01,5.039622641509433976e+01,8.259047619047619548e+01,7.386915887850467755e+01,7.718095238095237676e+01,7.985046728971963148e+01,8.047619047619048160e+01
9.098076923076922640e+01,5.039622641509433976e+01,8.291428571428571104e+01,7.400000000000000000e+01,7.742857142857143060e+01,8.009345794392523032e+01,8.057142857142856940e+01
9.138461538461538680e+01,5.037735849056603854e+01,8.325714285714285268e+01,7.411214953271027639e+01,7.775238095238094616e+01,8.061682242990654856e+01,8.079999999999999716e+01
9.148076923076922640e+01,5.033962264150943611e+01,8.373333333333333428e+01,7.476635514018691708e+01,7.809523809523810201e+01,8.091588785046728560e+01,8.097142857142857508e+01
9.219230769230769340e+01,5.020754716981132049e+01,8.400000000000000000e+01,7.508411214953271440e+01,7.824761904761905384e+01,8.117757009345794472e+01,8.125714285714285268e+01
9.238461538461538680e+01,5.007547169811320487e+01,8.417142857142857792e+01,7.514018691588785259e+01,7.830476190476190368e+01,8.192523364485981574e+01,8.125714285714285268e+01
9.298076923076922640e+01,4.998113207547169878e+01,8.497142857142857508e+01,7.542056074766355778e+01,7.845714285714285552e+01,8.256074766355139616e+01,8.139047619047619264e+01
9.344230769230769340e+01,4.979245283018867951e+01,8.512380952380952692e+01,7.571962616822429482e+01,7.860952380952380736e+01,8.280373831775700921e+01,8.158095238095238244e+01
9.350000000000000000e+01,4.975471698113207708e+01,8.535238095238095468e+01,7.598130841121495394e+01,7.868571428571428328e+01,8.373831775700934088e+01,8.188571428571428612e+01
9.365384615384616041e+01,4.969811320754716633e+01,8.540952380952380452e+01,7.622429906542056699e+01,7.881904761904762324e+01,8.371962616822429482e+01,8.190476190476189799e+01
9.425000000000000000e+01,4.969811320754716633e+01,8.573333333333333428e+01,7.605607476635513819e+01,7.897142857142857508e+01,8.405607476635513819e+01,8.201904761904762609e+01
9.469230769230769340e+01,4.947169811320754462e+01,8.579047619047618412e+01,7.614953271028036852e+01,7.931428571428571672e+01,8.422429906542056699e+01,8.211428571428571388e+01
9.509615384615383959e+01,4.881132075471698073e+01,8.577142857142857224e+01,7.626168224299065912e+01,7.950476190476190652e+01,8.467289719626168676e+01,8.205714285714286405e+01
9.526923076923077360e+01,4.839622641509433976e+01,8.615238095238095184e+01,7.629906542056075125e+01,7.948571428571428044e+01,8.484112149532710134e+01,8.222857142857142776e+01
9.542307692307691980e+01,4.830188679245283367e+01,8.638095238095237960e+01,7.631775700934579731e+01,7.977142857142857224e+01,8.523364485981308292e+01,8.245714285714285552e+01
9.580769230769230660e+01,4.796226415094339757e+01,8.657142857142856940e+01,7.663551401869159463e+01,8.000000000000000000e+01,8.540186915887851171e+01,8.253333333333333144e+01
9.592307692307691980e+01,4.752830188679245538e+01,8.664761904761904532e+01,7.669158878504673282e+01,8.005714285714286405e+01,8.586915887850467755e+01,8.268571428571428328e+01
