# 'cement_0_60.h5', 'water_0_60.h5', 'Asphaltwet_0_60.h5', 'Asphalt_0_60.h5', 'Roughgravel_0_60.h5', 'grass_0_60.h5', 'roadgravel_0_60.h5'
3.239252336448598157e+01,3.659322033898305193e+01,3.768518518518518334e+01,3.841904761904761756e+01,3.926923076923076650e+01,4.139999999999999858e+01,4.071698113207547465e+01
3.347663551401868887e+01,3.733898305084746028e+01,3.887037037037037379e+01,3.889523809523809206e+01,4.032692307692308020e+01,4.225454545454545752e+01,4.141509433962264097e+01
3.420560747663551382e+01,3.874576271186440835e+01,3.953703703703703809e+01,3.963809523809523938e+01,4.136538461538461320e+01,4.301818181818181586e+01,4.252830188679245538e+01
3.457943925233644933e+01,3.905084745762712117e+01,4.088888888888888573e+01,4.085714285714285410e+01,4.201923076923076650e+01,4.425454545454545752e+01,4.347169811320754462e+01
3.545794392523364280e+01,4.038983050847457434e+01,4.146296296296296191e+01,4.179047619047619122e+01,4.292307692307691980e+01,4.501818181818181586e+01,4.452830188679245538e+01
3.652336448598131113e+01,4.142372881355932179e+01,4.287037037037037379e+01,4.266666666666666430e+01,4.386538461538461320e+01,4.634545454545454390e+01,4.586792452830188438e+01
3.727102803738317505e+01,4.242372881355932179e+01,4.344444444444444287e+01,4.377142857142857224e+01,4.488461538461538680e+01,4.692727272727272947e+01,4.692452830188679513e+01
3.852336448598131113e+01,4.276271186440678207e+01,4.442592592592592382e+01,4.472380952380952124e+01,4.588461538461538680e+01,4.821818181818181870e+01,4.766037735849056389e+01
3.910280373831776046e+01,4.422033898305084421e+01,4.524074074074074048e+01,4.620952380952380878e+01,4.688461538461538680e+01,4.901818181818181586e+01,4.875471698113207708e+01
4.035514018691588944e+01,4.513559322033898269e+01,4.644444444444444287e+01,4.678095238095237818e+01,4.815384615384615330e+01,5.034545454545454390e+01,4.983018867924528195e+01
4.100934579439252303e+01,4.603389830508474745e+01,4.755555555555555713e+01,4.824761904761904674e+01,4.944230769230769340e+01,5.143636363636363740e+01,5.101886792452830122e+01
4.244859813084111977e+01,4.711864406779660897e+01,4.864814814814814525e+01,4.899047619047618696e+01,5.048076923076923350e+01,5.301818181818181586e+01,5.239622641509433976e+01
4.293457943925233877e+01,4.832203389830508655e+01,5.007407407407407618e+01,5.015238095238095184e+01,5.150000000000000000e+01,5.381818181818182012e+01,5.335849056603773732e+01
4.428037383177569808e+01,4.908474576271186152e+01,5.118518518518518334e+01,5.152380952380952550e+01,5.290384615384615330e+01,5.525454545454545752e+01,5.464150943396226268e+01
