# 'water_0_45.h5', 'cement_0_45.h5', 'Asphalt_0_45.h5', 'Asphaltwet_0_45.h5', 'roadgravel_0_45.h5', 'grass_0_45.h5', 'Roughgravel_0_45.h5'
4.657142857142856940e+01,4.533333333333333570e+01,3.494339622641509635e+01,4.327102803738317505e+01,4.224528301886792292e+01,3.903773584905660243e+01,4.018867924528301927e+01
4.805714285714285694e+01,4.605555555555555713e+01,3.541509433962264097e+01,4.420560747663551382e+01,4.356603773584905781e+01,3.975471698113207708e+01,4.109433962264150608e+01
4.906666666666666998e+01,4.733333333333333570e+01,3.649056603773584584e+01,4.510280373831776046e+01,4.452830188679245538e+01,4.083018867924528195e+01,4.222641509433962170e+01
5.034285714285714164e+01,4.853703703703703809e+01,3.701886792452830122e+01,4.631775700934579731e+01,4.535849056603773732e+01,4.158490566037735903e+01,4.301886792452830122e+01
5.146666666666666856e+01,4.940740740740740478e+01,3.826415094339622414e+01,4.706542056074766123e+01,4.658490566037735903e+01,4.305660377358490365e+01,4.403773584905660243e+01
5.232380952380952266e+01,5.088888888888888573e+01,3.875471698113207708e+01,4.818691588785046775e+01,4.743396226415094219e+01,4.415094339622641684e+01,4.500000000000000000e+01
5.356190476190476346e+01,5.164814814814814525e+01,4.022641509433962170e+01,4.930841121495327428e+01,4.883018867924528195e+01,4.500000000000000000e+01,4.584905660377358316e+01
5.491428571428571104e+01,5.331481481481481666e+01,4.096226415094339757e+01,5.056074766355140326e+01,4.971698113207547465e+01,4.618867924528301927e+01,4.707547169811320487e+01
5.634285714285714164e+01,5.431481481481481666e+01,4.230188679245283367e+01,5.213084112149532956e+01,5.103773584905660243e+01,4.732075471698113489e+01,4.796226415094339757e+01
5.712380952380952692e+01,5.574074074074074048e+01,4.301886792452830122e+01,5.327102803738317505e+01,5.230188679245283367e+01,4.867924528301886511e+01,4.952830188679245538e+01
5.866666666666666430e+01,5.683333333333333570e+01,4.424528301886792292e+01,5.426168224299065201e+01,5.358490566037735903e+01,4.969811320754716633e+01,5.033962264150943611e+01
6.009523809523809490e+01,5.824074074074074048e+01,4.494339622641509635e+01,5.573831775700934799e+01,5.464150943396226268e+01,5.060377358490566024e+01,5.156603773584905781e+01
6.135238095238095468e+01,5.962962962962962621e+01,4.637735849056603854e+01,5.672897196261682495e+01,5.558490566037735903e+01,5.218867924528301927e+01,5.279245283018867951e+01
6.329523809523809774e+01,6.111111111111111427e+01,4.739622641509433976e+01,5.813084112149532956e+01,5.735849056603773732e+01,5.273584905660377586e+01,5.400000000000000000e+01
6.419047619047618980e+01,6.224074074074074048e+01,4.881132075471698073e+01,5.925233644859812898e+01,5.826415094339622414e+01,5.456603773584905781e+01,5.526415094339622414e+01
6.584761904761904816e+01,6.375925925925925952e+01,4.949056603773584584e+01,6.065420560747663359e+01,5.941509433962264097e+01,5.532075471698113489e+01,5.679245283018867951e+01
6.718095238095237676e+01,6.496296296296296191e+01,5.077358490566037830e+01,6.209345794392523032e+01,6.116981132075471805e+01,5.669811320754716633e+01,5.796226415094339757e+01
6.866666666666667140e+01,6.603703703703703809e+01,5.192452830188679513e+01,6.332710280373832035e+01,6.267924528301886511e+01,5.815094339622641684e+01,5.918867924528301927e+01
6.961904761904762040e+01,6.725925925925925242e+01,5.315094339622641684e+01,6.450467289719625796e+01,6.360377358490566024e+01,5.937735849056603854e+01,6.047169811320754462e+01
7.100952380952381304e+01,6.842592592592592382e+01,5.409433962264150608e+01,6.573831775700934088e+01,6.490566037735848681e+01,6.064150943396226268e+01,6.200000000000000000e+01
7.259047619047619548e+01,6.968518518518519045e+01,5.539622641509433976e+01,6.691588785046728560e+01,6.626415094339623124e+01,6.150943396226415416e+01,6.305660377358490365e+01
7.354285714285714448e+01,7.068518518518519045e+01,5.615094339622641684e+01,6.777570093457943301e+01,6.716981132075471805e+01,6.292452830188679513e+01,6.422641509433962881e+01
