# 'RoadGravel_0_0.h5', 'Cement_0_0.h5', 'RoughGravel_0_0.h5', 'Asphalt_0_0.h5', 'Grass_0_0.h5', 'Puddle_0_0.h5', 'AsphaltWet_0_0.h5'
4.345283018867924341e+01,3.601869158878504606e+01,5.259047619047618838e+01,6.245871559633027204e+01,5.075229357798165353e+01,4.043396226415094219e+01,4.967307692307691980e+01
4.377358490566037830e+01,3.614953271028037562e+01,5.382857142857142918e+01,6.385321100917430925e+01,5.179816513761468144e+01,4.043396226415094219e+01,5.015384615384615330e+01
4.416981132075471805e+01,3.641121495327102764e+01,5.489523809523809206e+01,6.522935779816513957e+01,5.280733944954128134e+01,4.043396226415094219e+01,5.051923076923076650e+01
4.430188679245283367e+01,3.663551401869158752e+01,5.588571428571428612e+01,6.585321100917431636e+01,5.411009174311926273e+01,4.043396226415094219e+01,5.126923076923076650e+01
4.483018867924528195e+01,3.672897196261682495e+01,5.697142857142856798e+01,6.686238532110091626e+01,5.508256880733944882e+01,4.041509433962264097e+01,5.151923076923076650e+01
4.503773584905660243e+01,3.699065420560747697e+01,5.828571428571428470e+01,6.748623853211009305e+01,5.576146788990825343e+01,4.041509433962264097e+01,5.223076923076923350e+01
4.516981132075471805e+01,3.725233644859812898e+01,6.005714285714285694e+01,6.845871559633027914e+01,5.717431192660550465e+01,4.041509433962264097e+01,5.228846153846154010e+01
4.569811320754716633e+01,3.749532710280373493e+01,6.097142857142856798e+01,6.917431192660549755e+01,5.777981651376146743e+01,4.041509433962264097e+01,5.246153846153845990e+01
4.615094339622641684e+01,3.760747663551401843e+01,6.179047619047619122e+01,6.952293577981650685e+01,5.900917431192660700e+01,4.037735849056603854e+01,5.263461538461538680e+01
4.630188679245283367e+01,3.768224299065420269e+01,6.302857142857143202e+01,7.040366972477063712e+01,5.983486238532110235e+01,4.037735849056603854e+01,5.282692307692308020e+01
4.658490566037735903e+01,3.794392523364486181e+01,6.371428571428571530e+01,7.132110091743119540e+01,6.089908256880733717e+01,4.033962264150943611e+01,5.311538461538461320e+01
4.669811320754716633e+01,3.839252336448598157e+01,6.521904761904761472e+01,7.161467889908256268e+01,6.181651376146788834e+01,4.033962264150943611e+01,5.353846153846154010e+01
4.671698113207547465e+01,3.841121495327102764e+01,6.657142857142856940e+01,7.244036697247706513e+01,6.344954128440367214e+01,4.033962264150943611e+01,5.384615384615384670e+01
4.696226415094339757e+01,3.846728971962616583e+01,6.712380952380952692e+01,7.264220183486239080e+01,6.381651376146788834e+01,4.032075471698113489e+01,5.394230769230769340e+01
4.737735849056603854e+01,3.846728971962616583e+01,6.820952380952381588e+01,7.275229357798164642e+01,6.456880733944953477e+01,4.032075471698113489e+01,5.417307692307691980e+01
4.775471698113207708e+01,3.867289719626167965e+01,6.893333333333333712e+01,7.328440366972476738e+01,6.559633027522936288e+01,4.032075471698113489e+01,5.421153846153845990e+01
4.816981132075471805e+01,3.899065420560747697e+01,7.015238095238095184e+01,7.377981651376147454e+01,6.645871559633027914e+01,4.032075471698113489e+01,5.434615384615384670e+01
4.824528301886792292e+01,3.899065420560747697e+01,7.087619047619047308e+01,7.418348623853211166e+01,6.794495412844037219e+01,4.032075471698113489e+01,5.450000000000000000e+01
4.864150943396226268e+01,3.912149532710280653e+01,7.173333333333333428e+01,7.444036697247706513e+01,6.853211009174312096e+01,4.032075471698113489e+01,5.450000000000000000e+01
4.875471698113207708e+01,3.910280373831776046e+01,7.209523809523810201e+01,7.458715596330274877e+01,6.944954128440366503e+01,4.032075471698113489e+01,5.475000000000000000e+01
4.915094339622641684e+01,3.912149532710280653e+01,7.308571428571428896e+01,7.506422018348624192e+01,7.007339449541284182e+01,4.032075471698113489e+01,5.475000000000000000e+01
4.924528301886792292e+01,3.917757009345794472e+01,7.367619047619047024e+01,7.522935779816513957e+01,7.095412844036697209e+01,4.022641509433962170e+01,5.480769230769230660e+01
4.918867924528301927e+01,3.919626168224299079e+01,7.476190476190475920e+01,7.555963302752293487e+01,7.187155963302751616e+01,4.022641509433962170e+01,5.486538461538461320e+01
4.935849056603773732e+01,3.917757009345794472e+01,7.504761904761905100e+01,7.581651376146788834e+01,7.286238532110091626e+01,4.026415094339622414e+01,5.490384615384615330e+01
4.937735849056603854e+01,3.912149532710280653e+01,7.552380952380951840e+01,7.583486238532110235e+01,7.361467889908256268e+01,4.022641509433962170e+01,5.505769230769230660e+01
4.945283018867924341e+01,3.908411214953270729e+01,7.649523809523809348e+01,7.590825688073394417e+01,7.425688073394495348e+01,4.022641509433962170e+01,5.528846153846154010e+01
4.935849056603773732e+01,3.900934579439252303e+01,7.706666666666666288e+01,7.607339449541284182e+01,7.517431192660549755e+01,4.016981132075471805e+01,5.528846153846154010e+01
4.935849056603773732e+01,3.891588785046729271e+01,7.739047619047619264e+01,7.618348623853211166e+01,7.590825688073394417e+01,4.007547169811320487e+01,5.536538461538461320e+01
4.943396226415094219e+01,3.889719626168223954e+01,7.771428571428570820e+01,7.655045871559633497e+01,7.616513761467889765e+01,3.990566037735849392e+01,5.530769230769230660e+01
4.947169811320754462e+01,3.867289719626167965e+01,7.836190476190476772e+01,7.658715596330274877e+01,7.682568807339450245e+01,3.983018867924528195e+01,5.528846153846154010e+01
4.947169811320754462e+01,3.856074766355140326e+01,7.851428571428571956e+01,7.669724770642201861e+01,7.768807339449541871e+01,3.977358490566037830e+01,5.538461538461538680e+01
4.952830188679245538e+01,3.856074766355140326e+01,7.902857142857142492e+01,7.669724770642201861e+01,7.798165137614678599e+01,3.962264150943396146e+01,5.551923076923076650e+01
4.967924528301886511e+01,3.850467289719626507e+01,7.954285714285714448e+01,7.669724770642201861e+01,7.825688073394495348e+01,3.941509433962264097e+01,5.561538461538461320e+01
4.984905660377358316e+01,3.848598130841121190e+01,8.017142857142857792e+01,7.680733944954128845e+01,7.893577981651375808e+01,3.933962264150943611e+01,5.555769230769230660e+01
4.990566037735849392e+01,3.846728971962616583e+01,8.036190476190476772e+01,7.699082568807340010e+01,7.939449541284403722e+01,3.896226415094339757e+01,5.546153846153845990e+01
4.988679245283018560e+01,3.837383177570093551e+01,8.057142857142856940e+01,7.722935779816513957e+01,7.985321100917431636e+01,3.843396226415094219e+01,5.567307692307691980e+01
4.986792452830188438e+01,3.837383177570093551e+01,8.074285714285714732e+01,7.722935779816513957e+01,8.005504587155962781e+01,3.830188679245283367e+01,5.575000000000000000e+01
4.986792452830188438e+01,3.833644859813084338e+01,8.116190476190476488e+01,7.719266055045871155e+01,8.014678899082568364e+01,3.730188679245283367e+01,5.575000000000000000e+01
4.990566037735849392e+01,3.805607476635513819e+01,8.152380952380951840e+01,7.730275229357798139e+01,8.025688073394495348e+01,3.677358490566037830e+01,5.561538461538461320e+01
4.996226415094339757e+01,3.745794392523364280e+01,8.169523809523809632e+01,7.730275229357798139e+01,8.082568807339450245e+01,3.652830188679245538e+01,5.551923076923076650e+01
5.000000000000000000e+01,3.734579439252336641e+01,8.213333333333333997e+01,7.733944954128440941e+01,8.102752293577981391e+01,3.567924528301886511e+01,5.544230769230769340e+01
5.007547169811320487e+01,3.740186915887850461e+01,8.245714285714285552e+01,7.757798165137614887e+01,8.144954128440366503e+01,3.484905660377358316e+01,5.542307692307691980e+01
5.011320754716981440e+01,3.695327102803738484e+01,8.274285714285714732e+01,7.757798165137614887e+01,8.174311926605504652e+01,3.405660377358490365e+01,5.538461538461538680e+01
5.003773584905660243e+01,3.689719626168223954e+01,8.279999999999999716e+01,7.757798165137614887e+01,8.198165137614678599e+01,3.301886792452830122e+01,5.534615384615384670e+01
4.988679245283018560e+01,3.685981308411214741e+01,8.314285714285713880e+01,7.757798165137614887e+01,8.214678899082568364e+01,3.186792452830188793e+01,5.534615384615384670e+01
4.988679245283018560e+01,3.663551401869158752e+01,8.327619047619047876e+01,7.757798165137614887e+01,8.267889908256880460e+01,3.054716981132075304e+01,5.521153846153845990e+01
4.973584905660377586e+01,3.661682242990654146e+01,8.339047619047619264e+01,7.750458715596330705e+01,8.286238532110091626e+01,2.990566037735849036e+01,5.513461538461538680e+01
4.932075471698113489e+01,3.661682242990654146e+01,8.356190476190475636e+01,7.750458715596330705e+01,8.300917431192659990e+01,2.856603773584905781e+01,5.507692307692308020e+01
4.971698113207547465e+01,3.633644859813084338e+01,8.384761904761904816e+01,7.750458715596330705e+01,8.322935779816513957e+01,2.777358490566037830e+01,5.505769230769230660e+01
4.967924528301886511e+01,3.631775700934579731e+01,8.394285714285713595e+01,7.774311926605504652e+01,8.333944954128440941e+01,2.637735849056603854e+01,5.492307692307691980e+01
4.949056603773584584e+01,3.594392523364486181e+01,8.432380952380952976e+01,7.774311926605504652e+01,8.359633027522936288e+01,2.539622641509433976e+01,5.461538461538461320e+01
4.949056603773584584e+01,3.592523364485981574e+01,8.432380952380952976e+01,7.768807339449541871e+01,8.366972477064220470e+01,2.415094339622641684e+01,5.448076923076923350e+01
4.945283018867924341e+01,3.579439252336448618e+01,8.441904761904761756e+01,7.772477064220183252e+01,8.370642201834861851e+01,2.267924528301886866e+01,5.432692307692308020e+01
4.945283018867924341e+01,3.575700934579439405e+01,8.459047619047619548e+01,7.754128440366972086e+01,8.366972477064220470e+01,2.105660377358490720e+01,5.415384615384615330e+01
4.932075471698113489e+01,3.560747663551401843e+01,8.462857142857143344e+01,7.730275229357798139e+01,8.374311926605504652e+01,1.962264150943396146e+01,5.390384615384615330e+01
4.928301886792452535e+01,3.579439252336448618e+01,8.478095238095238528e+01,7.726605504587155338e+01,8.376146788990826053e+01,1.800000000000000000e+01,5.346153846153845990e+01
4.926415094339622414e+01,3.579439252336448618e+01,8.485714285714286120e+01,7.711926605504586973e+01,8.388990825688073016e+01,1.679245283018867951e+01,5.332692307692308020e+01
4.926415094339622414e+01,3.579439252336448618e+01,8.485714285714286120e+01,7.724770642201835358e+01,8.420183486238532566e+01,1.530188679245283012e+01,5.269230769230769340e+01
4.888679245283018560e+01,3.571962616822430192e+01,8.500952380952381304e+01,7.677064220183486043e+01,8.420183486238532566e+01,1.377358490566037652e+01,5.257692307692308020e+01
4.888679245283018560e+01,3.585046728971962438e+01,8.512380952380952692e+01,7.666055045871559059e+01,8.445871559633027914e+01,1.247169811320754640e+01,5.230769230769230660e+01
4.877358490566037830e+01,3.585046728971962438e+01,8.514285714285713880e+01,7.631192660550458129e+01,8.444036697247706513e+01,1.103773584905660421e+01,5.207692307692308020e+01
4.883018867924528195e+01,3.585046728971962438e+01,8.529523809523809064e+01,7.614678899082568364e+01,8.444036697247706513e+01,1.005660377358490543e+01,5.176923076923076650e+01
4.847169811320754462e+01,3.568224299065420269e+01,8.537142857142856656e+01,7.574311926605504652e+01,8.449541284403669295e+01,9.169811320754716277e+00,5.136538461538461320e+01
4.854716981132075659e+01,3.562616822429906449e+01,8.539047619047619264e+01,7.563302752293577669e+01,8.466055045871559059e+01,8.528301886792453601e+00,5.069230769230769340e+01
